2036.32, 1974, 2017.61, 2026.09, 1984, 2020.3, 2015.79, 1994, 1996, 1989, 1975.95, 1994.2, 1983.08, 1972, 1978, 1957.81, 1974.59, 1956.41
1993.71, 2008.32, 2018.87, 2007.4, 1992.58, 1982.81, 2001.63, 2028.74, 2012.56, 1997.9, 1989.9, 1975.51, 1990.62, 1954.13, 1978, 1992.44, 1932.06, 1978
1986, 1998.71, 2009.18, 1994, 1992.58, 2031.15, 1990, 1998.71, 2005.7, 1987.79, 1980.89, 1977.05, 1980.94, 1980.92, 1974.48, 1974, 1978, 1978
2002, 1974, 1982.69, 2015.32, 2026.47, 2014.38, 1990, 2017.87, 1994.74, 1984, 1967.3, 1981.77, 1978, 1957.31, 1978, 1976.46, 1978, 1943.63
2050.61, 2049.02, 2018.87, 2023.98, 2035.05, 2008.31, 1994.16, 1992.43, 1996, 1997.9, 1959.8, 1983.13, 1971.98, 1955.4, 1972.56, 1975.7, 1972.19, 1944.62
1993.71, 2023.17, 2013.58, 1994, 1984, 1995.8, 1994.18, 1984, 2010.58, 2013.23, 1972.96, 1976, 1985.08, 1971.02, 1978, 1956.86, 1978, 1957.58
2067.1, 1997.38, 2004.31, 2036.5, 2012.13, 1985.86, 2018, 1979.27, 2012.04, 2013.23, 1957.75, 1986, 1989.1, 1982, 1978, 1974, 1947.76, 1978
2065.02, 1984.77, 2032.17, 1994, 1984, 2001.61, 2001.85, 2017.19, 1996, 2020.52, 1962.93, 2008.3, 1976.96, 1968.63, 1995.95, 1974, 1966.21, 1961.68
2063.58, 1996.65, 1994.56, 1997.86, 1991.68, 2023.57, 2032.86, 1995.98, 1996, 1984, 1953.16, 1986, 1976.93, 1982, 1976.18, 1952.58, 1956.78, 1972.01
1976.21, 1974, 1980, 2006.52, 2035.05, 1976.97, 2004.18, 2020.34, 2001.88, 2018.22, 1978, 1961.17, 1977.31, 1982, 1988.2, 1974, 1978, 1922.44
1997.84, 2039.62, 1980, 2007.4, 2035.05, 2012.22, 2016.57, 1966.77, 1996, 1984, 1978, 1984.46, 1978, 1978.29, 1979.92, 1974, 1946.11, 1940.29
1986, 2038.97, 1980, 2014.44, 2027.37, 2013.29, 1990, 1984, 2012.04, 2025.44, 1970.92, 1980.04, 1972.46, 1982, 1970.31, 1980.37, 1978, 1978.95
1986, 1974, 1980, 1994, 1984, 2006.21, 2007.57, 1984, 1987.04, 1987.3, 1971.98, 1976, 1984.5, 1944.83, 1978, 1960.36, 1978, 1967.83
1986, 1974, 1980, 1994, 1998.34, 1978, 1990, 1984, 2017.06, 1991.91, 1989.56, 1998.44, 1978, 1981.9, 1965.5, 1974, 1931.12, 1947.18
1986, 1974, 1980, 1994, 1984, 1978, 1990, 1984, 2012.04, 1984, 1989.4, 1986, 1978, 1987.93, 1978, 1971.48, 1943.18, 1949.55
1986, 1974, 1980, 1994, 1984, 1978, 1990, 1984, 1996, 1984, 1980.6, 1986, 1978, 1974.7, 1978, 1974, 1931.42, 1978
