16,Jensen,12,1962.02,0,0
17,Richter,12,1961.3,0,0
18,Gruezo,12,1948.62,0,0
19,Strobl,12,1969.16,0,0
20,Hahn,12,1935.3,0,0
21,Niederlechner,12,1973.3,0,0
22,Seong-Hoon,12,1968.03,0,0
23,Finnbogason,12,1952.45,0,0
24,Gregoritsch,12,1974.52,0,0
0,Zieler,13,1972.03,0,0
1,Horn,13,1944.89,0,0
2,Perez,13,1965.12,0,0
3,Schmitz,13,1964.73,0,0
4,Katterbach,13,1965.53,0,0
5,Voloder,13,1972.03,0,0
6,Horn,13,1946.21,0,0
7,Czichos,13,1955.82,0,0
8,Bornauw,13,1938.46,0,0
9,Jakobs,13,1991.9,0,0
10,Ehizibue,13,1952.97,0,0
11,Wolf,13,1970.95,0,0
12,Hoger,13,1962.04,0,0
13,Skhiri,13,1940.49,0,0
14,Ozcan,13,1969.67,0,0
15,Duda,13,1948.28,0,0
16,Hector,13,1929.98,0,0
17,Drexler,13,1956.35,0,0
18,Meyer,13,1968.84,0,0
19,Rexhbecaj,13,1967.39,0,0
20,Kainz,13,1984.97,0,0
21,Arokodare,13,1972.03,0,0
22,Limnios,13,1968.32,0,0
23,Dennis,13,1983.86,0,0
24,Andersson,13,1947.8,0,0
25,Cestic,13,1960.39,0,0
26,Thielmann,13,1977.95,0,0
0,Jarstein,14,1980.06,0,0
1,Schwolow,14,1956.18,0,0
2,Zeefuik,14,1988.65,0,0
3,Pekarik,14,1951.58,0,0
4,Plattenhardt,14,1974.17,0,0
5,Torunarigha,14,1969.46,0,0
6,Alderette,14,1958.41,0,0
7,Mittelstadt,14,1952.1,0,0
8,Stark,14,1964.89,0,0
9,Klunter,14,1984.94,0,0
10,Boyata,14,1953.54,0,0
11,Dardai,14,1976.13,0,0
12,Radonkic,14,1955.54,0,0
13,Albrecht,14,1960.04,0,0
14,Darida,14,1962.97,0,0
15,Khedira,14,1953.56,0,0
16,Leckie,14,1952.63,0,0
17,Ascacibar,14,1979.04,0,0
18,Dilrosun,14,1960.04,0,0
19,Guendouzi,14,1990.16,0,0
20,Tousart,14,1963.24,0,0
21,Cunha,14,1970.49,0,0
22,Lukebakio,14,1971.66,0,0
23,Cordoba,14,1973.35,0,0
